id,job_id,skills
1,1,Accounting/Finance
2,1,Accounting
3,1,Accounting Software
4,1,Construction
5,1,Contracting
6,1,MS Excel
7,1,Tax
8,1,MS
9,1,excel
10,1,Financial Analysis
11,2,IT/Software Development
12,2,Quality
13,2,Engineering - Telecom/Technology
14,2,Android SDK
15,2,Computer Science
16,2,APIs
17,2,Android
18,2,Software Development
19,2,Information Technology (IT)
20,2,Engineering
21,3,IT/Software Development
22,3,Analyst/Research
23,3,Engineering - Telecom/Technology
24,3,BI
25,3,Computer Science
26,3,Database
27,3,Information Technology (IT)
28,3,Oracle
29,3,SQL
30,3,PLSql
31,4,IT/Software Development
32,4,Quality
33,4,Engineering - Telecom/Technology
34,4,developer
35,4,Sales
36,4,Outsourcing
37,4,Information Technology (IT)
38,5,Accounting/Finance
39,5,Accounting
40,5,General Ledger
41,5,GAAP
42,5,MS Excel
43,6,females_only
44,6,Human Resources
45,6,IT/Software Development
46,6,Engineering - Telecom/Technology
47,6,business
48,6,Communication skills
49,6,Human Resources (HR)
50,6,HR
51,6,Information Technology (IT)
52,6,Performance Management
53,6,Payroll
54,7,IT/Software Development
55,7,Quality
56,7,Engineering - Telecom/Technology
57,7,API
58,7,Information Technology (IT)
59,7,Communication skills
60,7,iOS
61,7,Git
62,7,Objective
63,7,Software Development
64,8,Installation/Maintenance/Repair
65,8,IT/Software Development
66,8,Engineering - Telecom/Technology
67,8,APIs
68,8,Computer Science
69,8,Software Development
70,8,Data Structures
71,8,Docker
72,8,Information Technology (IT)
73,8,Linux
74,9,Logistics/Supply Chain
75,9,Purchasing/Procurement
76,9,Administration
77,9,Purchasing
78,9,Procurement
79,9,Supply
80,9,Sourcing
81,9,Supply Chain
82,9,supply chain management
83,10,Accounting/Finance
84,10,Accounting
85,10,Odoo ERP
86,10,Odoo user
87,10,Microsoft Office
88,10,Finance
89,10,Financial Analysis
90,11,Creative/Design/Art
91,11,Engineering - Mechanical/Electrical
92,11,Mechanical Engineering
93,11,Engineering
94,11,AutoCAD
95,11,BOQ
96,11,Design
97,11,Mechanical
98,11,Firefighting
99,11,Plumbing
100,12,Human Resources
101,12,Legal
102,12,Pharmaceutical
103,12,Human Resources (HR)
104,12,Personnel
105,12,Recruitment
106,12,Microsoft Office
107,12,Business Administration
108,12,Administration
109,12,Labor Law
110,13,IT/Software Development
111,13,Quality
112,13,Engineering - Telecom/Technology
113,13,Agile
114,13,Information Technology (IT)
115,13,Java
116,13,Software Development
117,13,Computer Science
118,13,Agile Methodology
119,13,AWS
120,14,Human Resources
121,14,CBI
122,14,Interviewing
123,14,Recruitment
124,14,Hiring
125,14,Talent acquisition
126,14,Human Resources (HR)
127,14,Communication skills
128,15,Operations/Management
129,15,Marketing/PR/Advertising
130,15,Sales/Retail
131,15,Communication skills
132,15,Communication
133,15,CRM
134,15,English
135,15,Experience
136,15,New Cairo
137,15,New Capital
138,16,Engineering - Construction/Civil/Architecture
139,16,Creative/Design/Art
140,16,Graphic Design
141,16,Design
142,16,Architecture
143,16,Engineering
144,16,Interior Design
145,16,Adobe Photoshop
146,16,Adobe Illustrator
147,16,Adobe Indesign
148,17,computer
149,17,AI
150,17,Computer Science
151,17,Information Technology (IT)
152,18,IT/Software Development
153,18,Engineering - Other
154,18,npl
155,18,AI
156,18,Python
157,18,Keras
158,18,PyTorch
159,18,Machine Learning
160,18,Artificial Intelligence (AI)
161,18,AI Agent
162,19,IT/Software Development
163,19,Engineering - Telecom/Technology
164,19,AI
165,19,Computer Science
166,19,Information Technology (IT)
167,19,Software
168,19,Java
169,19,PostgreSQL
170,19,Engineering
171,19,Software Development
172,20,Business Development
173,20,Analyst/Research
174,20,Training/Instructor
175,20,AI
176,20,Training
178,20,Project Management
179,20,Education Technology
180,21,Engineering - Mechanical/Electrical
181,21,Education/Teaching
182,21,curriculum developer
183,21,electrical engineering
184,21,electronics
185,21,engineering
186,21,management
187,21,operations
188,22,Engineering - Telecom/Technology
189,22,AI
190,22,LMS
191,22,FFT
192,22,Python
193,22,Engineering
194,22,Frameworks
195,22,PyTorch
196,22,TensorFlow
197,22,NLP
198,23,IT/Software Development
199,23,Engineering - Telecom/Technology
200,23,computer
201,23,AI
202,23,NLP
203,23,Engineering
204,23,Information Technology (IT)
205,23,CUDA
206,23,Linux
207,23,Computer Science
208,24,IT/Software Development
209,24,Analyst/Research
210,24,Engineering - Telecom/Technology
211,24,AI
212,24,APIs
213,24,Computer Science
214,24,Development
215,24,Engineering
216,24,Frameworks
217,24,Information Technology (IT)
218,25,IT/Software Development
219,25,Engineering - Telecom/Technology
220,25,Computer Science
221,25,BI
222,25,Software Engineering
223,25,SQL
224,25,Software Development
225,25,Power BI
226,25,SSRS
227,25,SQL Server
228,26,IT/Software Development
229,26,AI
230,26,Computer Science
231,27,IT/Software Development
232,27,Training/Instructor
233,27,AI
234,27,Information Technology (IT)
235,27,Computer Programs
236,27,Artificial Intelligence (AI)
237,27,NLP
238,27,Machine
239,27,Machine Learning
240,27,Training
241,28,Writing/Editorial
242,28,IT/Software Development
243,28,Transcription
244,28,English
245,28,Financial Services
246,28,AI
247,28,Accounting
248,28,Financial Accounting
249,28,Financial Management
250,28,Compliance
251,29,Training/Instructor
252,29,AI
253,29,Training
254,30,Marketing/PR/Advertising
255,30,Digital Marketing
256,30,Community Management
257,30,Social Media
258,31,Accounting/Finance
259,31,Oracle Fusion
260,31,AP
261,31,Accounting
262,31,Payable Accounting
263,32,Accounting/Finance
264,32,Accounting
265,32,Commerce
266,32,English
267,32,Finance
268,32,Financial Analysis
269,32,Microsoft Office
270,32,office
271,33,Accounting/Finance
272,33,Accounting
273,33,Accounting principles
274,33,Accounting Software
275,33,AR
276,33,Finance
277,33,Financial Analysis
278,33,excel
279,33,GAAP
280,33,General Ledger
281,34,Accounting/Finance
282,34,Accounting
283,34,Accounting Systems
284,34,AR
285,34,E-Commerce
286,34,excel
287,34,Finance
288,34,Financial
289,34,Financial Analysis
290,34,IFRS
291,35,Accounting/Finance
292,35,Accounting
293,35,AR
294,35,AR Accountant
295,35,ERP systems
