id,job_title,work_type,workplace,company_name,company_page,experience_level,yrs_of_exp,address,city,country
1,Accountant Construction Field,Full Time,On-site,aspec ultimate environmental solution,https://wuzzuf.net/jobs/careers/aspec ultimate environmental solution-Egypt-127545,Experienced,5 - 5 Yrs of Exp,Heliopolis,Cairo,Egypt
2,Android Developer Outsource,Full Time,Hybrid,Efada Technology,https://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085,Experienced,2 - 4 Yrs of Exp,6th of October,Giza,Egypt
3,BI DWH BIG Data Outsource,Full Time,Hybrid,Efada Technology,https://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085,Experienced,4 - 5 Yrs of Exp,6th of October,Giza,Egypt
4,Data Base Developer RAID,Full Time,Hybrid,Efada Technology,https://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085,Experienced,2 - 5 Yrs of Exp,6th of October,Giza,Egypt
5,General Ledger Accountant GL Accountant,Full Time,On-site,Confidential,UnKnown,Entry Level,1 - 3 Yrs of Exp,New Cairo,Cairo,Egypt
6,HR Manager Technology,Full Time,On-site,Efada Technology,https://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085,Manager,7 - 10 Yrs of Exp,New Cairo,Cairo,Egypt
7,IOS Developer Outsource,Full Time,Hybrid,Efada Technology,https://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085,Experienced,2 - 4 Yrs of Exp,6th of October,Giza,Egypt
8,Node.js Developer Chatbot outsource,Full Time,Hybrid,Efada Technology,https://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085,Experienced,4 - 6 Yrs of Exp,6th of October,Giza,Egypt
9,Purchasing Senior Specialist Red Sea Location,Full Time,On-site,REDCON Construction Co. S.A.E,https://wuzzuf.net/jobs/careers/REDCON-Construction-Co--S-A-E-Egypt-104934,Experienced,2 - 4 Yrs of Exp,Hurghada,Red Sea,Egypt
10,Senior Accountant - Odoo User - KSA,Full Time,On-site,Afaqy,https://wuzzuf.net/jobs/careers/Afaqy-Egypt-28121,Experienced,5 - 8 Yrs of Exp,UnKnown,Riyadh,Saudi Arabia
11,Senior Mechanical Design Engineer HVAC & Firefighting And Plumbing,Full Time,On-site,Q Design,https://wuzzuf.net/jobs/careers/Q-Desgin-Egypt-12265,Experienced,8 - 13 Yrs of Exp,Maadi,Cairo,Egypt
12,Senior People & Organisation Specialist HR,Full Time,On-site,APEX Pharma,https://wuzzuf.net/jobs/careers/APEX-Pharma-Egypt-26371,Experienced,5+ Yrs of Exp,New Cairo,Cairo,Egypt
13,Software Developer Outsourced,Full Time,Hybrid,Efada Technology,https://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085,Experienced,2 - 5 Yrs of Exp,6th of October,Giza,Egypt
14,Talent Acquisition Senior Specialist  Manufacturing Background,Full Time,On-site,Egyptian German Automotive,https://wuzzuf.net/jobs/careers/egasae-com-5026,Experienced,4 - 6 Yrs of Exp,6th of October,Giza,Egypt
15,(Senior Property Consultant / Team Leader) - Primary only,Full Time,On-site,Confidential,UnKnown,Experienced,3 - 5 Yrs of Exp,New Cairo,Cairo,Egypt
