job_title,company_name,company_page,location,job_type,Experience Level,Yrs of Exp,skills
Data Engineer Team Lead,COB Solution  -,https://wuzzuf.net/jobs/careers/COB Solution-Egypt-112388,"Maadi, Cairo, Egypt",Full Time / On-site,Manager,4 - 6 Yrs of Exp,"['IT/Software Development', 'Computer Science', 'Engineering', 'Data', 'Information Technology (IT)', 'Software', 'Computer Engineering', 'AWS', 'Azure', 'Java']"
Data Entry Clerk,Quest mines -,https://wuzzuf.net/jobs/careers/Quest-Egypt-56853,"Maadi, Cairo, Egypt",Full Time / On-site,Experienced,2 - 5 Yrs of Exp,"['females_only', 'Administration', 'Data', 'Data Entry', 'excel', 'Microsoft Office', 'English', 'Customer Service', 'Administration', 'Typing', 'Typing speed']"
Data Entry Clerk,Carina Wear -,https://wuzzuf.net/jobs/careers/Carina-Wear-Office-Egypt-20411,"New Cairo, Cairo, Egypt",Full Time / On-site,Entry Level,females_preferred,"['Administration', 'Operations/Management', 'Data Entry', 'Microsoft Excel', 'Microsoft Office', 'Vlookup', 'Pivot Tables', 'Data Input', 'Excel Reporting', 'Data Management']"
Data Engineer,CreoTech -,https://wuzzuf.net/jobs/careers/creotech-egypt-128849,"Cairo, Egypt",Full Time / On-site,Experienced,5 - 8 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Computer Engineering', 'Computer Science', 'Information Technology (IT)', 'Maintenance', 'Engineering', 'AWS', 'Data']"
Senior Data Analyst,Tamweely -,https://wuzzuf.net/jobs/careers/Tamweely-Egypt-30002,"Downtown, Cairo, Egypt",Full Time / On-site,Experienced,3 - 5 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'analytical', 'Analysis', 'Data Analysis', 'SQL', 'Computer Science', 'Communication skills', 'Data', 'Python']"
Data Analyst,Selah ElTelmeez For Publishing & printing -,https://wuzzuf.net/jobs/careers/Selah-ElTelmeez-For-Publishing---printing-Egypt-31447,"Obour City, Cairo, Egypt",Full Time / On-site,Experienced,1 - 3 Yrs of Exp,"['females_only', 'Analyst/Research', 'Analysis', 'analytical', 'business', 'Computer Science', 'Data Analyst', 'Reporting', 'Statistics', 'Analyst', 'Information Technology (IT)']"
Senior Data Analyst,Allianz -,https://wuzzuf.net/jobs/careers/Allianz-Egypt-14076,"New Cairo, Cairo, Egypt",Full Time / On-site,Experienced,2 - 3 Yrs of Exp,"['Analyst/Research', 'Data Analysis', 'Data', 'Insurance', 'Retail', 'Statistics', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'Science']"
Data Entry Specialist (Planning),Egyptian Starch and Glucose  Manufacturing Company -,https://wuzzuf.net/jobs/careers/Egyptian-Starch-and-Glucose--Manufacturing-Company-Egypt-59114,"Musturad, Qalubia, Egypt",Full Time / On-site / Shift Based,Entry Level,1 - 2 Yrs of Exp,"['Administration', 'Other', 'accuracy', 'Data Entry', 'Data', 'entry', 'Microsoft Office', 'Skills', 'Analysis', 'Microsoft Excel']"
Data Entry & Traffic Controller,Intaj Alamal -,https://wuzzuf.net/jobs/careers/Intag-Alamal-Egypt-46439,"Maadi, Cairo, Egypt",Full Time / On-site,Experienced,2 - 5 Yrs of Exp,"['Administration', 'Logistics/Supply Chain', 'Administration', 'Data Entry', 'Quality Control', 'Traffic management']"
Data Entry Clerk,Confidential -,,"Dubai, United Arab Emirates",Full Time / On-site,Entry Level,1 - 2 Yrs of Exp,"['Administration', 'Legal', 'Data', 'Administration', 'Legal']"
